HEADER|DTP1.00 |      156356|         366|        |XSHG03|20150820-13:35:05.250|0|T10     
M0301|11000209|        4603|             493|       815536.00|     0.1697|     0.1650|     0.1650|           0|     0.1730|     0.1591|     0.1728|     0.1667|           5|     0.1728|           4|     0.1663|          35|     0.1730|          12|     0.1660|           2|     0.1731|          20|     0.1656|          10|     0.1765|          30|     0.1645|           5|     0.1777|          30|     0.0000|T 0 |13:34:29.100
M0301|11000210|        4794|             760|      1869485.00|     0.2476|     0.2598|     0.2598|           0|     0.2678|     0.2336|     0.2387|     0.2390|           5|     0.2450|          15|     0.2388|          18|     0.2453|          10|     0.2386|          45|     0.2456|           5|     0.2381|          10|     0.2457|          10|     0.2361|          40|     0.2491|           1|     0.0000|T 0 |13:21:49.250
M0301|11000215|        3575|             710|       861035.00|     0.1281|     0.1182|     0.1182|           0|     0.1273|     0.1146|     0.1229|     0.1229|          25|     0.1263|          10|     0.1222|          15|     0.1265|           1|     0.1208|          35|     0.1270|          10|     0.1189|           5|     0.1273|         111|     0.1171|          10|     0.1274|          94|     0.0000|T 0 |13:34:01.760
M0301|11000216|        5520|             412|      1274142.00|     0.2969|     0.3301|     0.3301|           0|     0.3301|     0.2810|     0.2849|     0.2812|          10|     0.2849|           3|     0.2810|          37|     0.2851|           5|     0.2795|          30|     0.2860|          19|     0.2740|          10|     0.2867|          10|           |           0|     0.2981|           5|     0.0000|T 0 |13:33:42.740
M0301|11000233|        3031|             814|       702449.00|     0.0908|     0.0885|     0.0885|           0|     0.0925|     0.0780|     0.0875|     0.0875|          10|     0.0883|           9|     0.0862|          30|     0.0887|           4|     0.0849|           5|     0.0895|           5|     0.0840|          10|     0.0901|           5|     0.0830|          30|     0.0902|          30|     0.0000|T 0 |13:34:01.760
M0301|11000234|        4237|             186|       672752.00|     0.3686|     0.3674|     0.3674|           0|     0.3724|     0.3499|     0.3499|     0.3461|           5|     0.3499|          20|     0.3459|           1|     0.3501|           5|     0.3458|          40|     0.3506|          10|     0.3454|          10|     0.3514|          14|     0.3453|           5|     0.3578|           5|     0.0000|T 0 |11:29:36.820
M0301|11000241|        4853|            1012|       578010.00|     0.0671|     0.0618|     0.0618|           0|     0.0642|     0.0494|     0.0576|     0.0576|          20|     0.0577|           6|     0.0572|           5|     0.0600|           7|     0.0571|          14|     0.0601|          30|     0.0569|          10|     0.0603|          21|     0.0556|          30|     0.0613|          35|     0.0000|T 0 |13:34:21.270
M0301|11000242|        4335|             248|      1098397.00|     0.4464|     0.4641|     0.4641|           0|     0.4641|     0.4289|     0.4307|     0.4291|           5|     0.4307|          15|     0.4289|           8|     0.4310|           5|     0.4282|          10|     0.4314|          10|     0.4264|          30|     0.4323|          30|     0.4247|          40|     0.4340|           5|     0.0000|T 0 |13:30:58.210
M0301|11000249|        4312|            1016|       411625.00|     0.0476|     0.0444|     0.0444|           0|     0.0462|     0.0356|     0.0402|     0.0402|          15|     0.0411|           6|     0.0395|          10|     0.0413|           5|     0.0391|          30|     0.0418|          25|     0.0387|           5|     0.0427|           5|     0.0376|          15|     0.0429|           5|     0.0000|T 0 |13:34:27.290
M0301|11000250|        4559|             205|      1070165.00|     0.5400|     0.5445|     0.5445|           0|     0.5500|     0.4956|     0.4957|     0.4956|          19|     0.4957|           8|     0.4944|          10|     0.4960|           5|     0.4910|          30|     0.4964|          10|     0.4894|          30|     0.4973|          19|     0.4807|          15|     0.5106|           5|     0.0000|T 0 |13:30:43.830
M0301|11000257|        8313|            1000|       353478.00|     0.0446|     0.0516|     0.0516|           0|     0.0516|     0.0299|     0.0336|     0.0331|          11|     0.0336|          30|     0.0329|          30|     0.0343|          10|     0.0324|          10|     0.0345|          10|     0.0320|           5|     0.0346|           5|     0.0318|          30|     0.0347|          35|     0.0000|T 0 |13:33:36.690
M0301|11000258|        3765|             179|      1099215.00|     0.6373|     0.6250|     0.6250|           0|     0.6250|     0.5962|     0.5962|     0.5964|           5|     0.5980|          10|     0.5962|          35|     0.5984|           5|     0.5955|          10|     0.5987|          10|     0.5944|          30|     0.6000|           5|     0.5849|           5|     0.6011|          30|     0.0000|T 0 |13:20:52.060
M0301|11000265|        4385|             979|       200065.00|     0.0260|     0.0220|     0.0220|           0|     0.0234|     0.0172|     0.0207|     0.0207|         118|     0.0216|          20|     0.0201|          10|     0.0221|           5|     0.0200|          10|     0.0222|           3|     0.0195|          30|     0.0223|          10|     0.0178|          10|     0.0234|           1|     0.0000|T 0 |13:34:21.650
M0301|11000266|        4276|             124|       882247.00|     0.7184|     0.7163|     0.7184|           0|     0.7174|     0.6976|     0.6976|     0.6906|           5|     0.6957|          35|     0.6905|          40|     0.6962|           5|     0.6887|          30|     0.6964|          10|     0.6838|           5|     0.7006|          30|     0.6798|           5|     0.7163|           2|     0.0000|T 0 |11:26:45.020
